Length (major axis),Width (minor axis),Thickness (depth),Area,Perimeter,Roundness,Solidity,Compactness,Aspect Ratio,Eccentricity,Extent,Convex hull(convex area),Type
,227.9406281,127.7591324,22619,643.813269,,0.97338354,1.458265435,,,0.681192591,23237.5,MAMRA
,234.1881256,128.1995087,23038,680.9848411,,0.957304024,1.601844119,,,0.656353276,24065.5,MAMRA
,229.4186096,125.7965469,22386.5,646.9432122,,0.967270135,1.487771577,,,0.683619874,23144,MAMRA
,232.7631531,125.918808,22578.5,661.2274827,,0.96551208,1.54097943,,,0.685360005,23385,MAMRA
,230.1507416,107.2534485,19068,624.8427061,,0.951449528,1.629395085,,,0.71479982,20041,MAMRA
,231.9144287,107.7597885,19335,615.3868625,,0.957344094,1.558627737,,,0.727919584,20196.5,MAMRA
,226.371048,106.4794083,18583.5,613.9726493,,0.9562857,1.614212381,,,0.727908343,19433,MAMRA
,226.186142,102.6230774,18069.5,584.8599517,,0.968977906,1.506425882,,,0.740674701,18648,MAMRA
413.4771729,,138.1905365,41492,1078.984843,0.309009201,0.950986122,2.232834093,,,0.767645372,43630.5,MAMRA
418.2103271,,129.6598969,40630.5,1039.428493,0.295782707,0.955888062,2.116056233,,,0.758597834,42505.5,MAMRA
423.2269592,,123.5729523,39510,1018.984842,0.28084746,0.955860117,2.091310673,,,0.770926829,41334.5,MAMRA
416.7571716,,131.9686127,41619.5,1111.227483,0.30509902,0.950206048,2.361017604,,,0.748632946,43800.5,MAMRA
372.8985596,,100.8158417,28773.5,876.1736605,0.263464072,0.958509611,2.123136077,,,0.777116081,30019,MAMRA
364.3937683,,98.43338776,27586.5,860.1736598,0.264523853,0.959780812,2.13435085,,,0.757579502,28742.5,MAMRA
360.413147,,99.45449829,27204.5,873.2030973,0.26665493,0.955080045,2.230385447,,,0.784172143,28484,MAMRA
362.0509644,,95.93334198,27030.5,848.1736604,0.262557713,0.968904581,2.117900827,,,0.774069301,27898,MAMRA
315.512085,169.0670929,,38551.5,831.0853467,0.493082288,0.983494266,1.425739249,1.866194536,0.844313315,0.777059985,39198.5,MAMRA
318.5227356,168.4918365,,38867.5,829.7127635,0.487770861,0.980549214,1.409480496,1.890434232,0.848634917,0.773574954,39638.5,MAMRA
